Fecha;Semana;mes;año;dia
39083;w01;1;2007;1
39114;w05;2;2007;1
39142;w09;3;2007;1
39173;w14;4;2007;1
39203;w18;5;2007;1
39234;w22;6;2007;1
39264;w27;7;2007;1
39295;w31;8;2007;1
39326;w35;9;2007;1
39356;w40;10;2007;1
39387;w44;11;2007;1
39417;w48;12;2007;1
39448;w01;1;2008;1
39479;w05;2;2008;1
39508;w09;3;2008;1
39539;w14;4;2008;1
39569;w18;5;2008;1
39600;w23;6;2008;1
39630;w27;7;2008;1
39661;w31;8;2008;1
39692;w36;9;2008;1
39722;w40;10;2008;1
39753;w44;11;2008;1
39783;w49;12;2008;1
39814;w53;1;2009;1
39845;w05;2;2009;1
39873;w09;3;2009;1
39904;w13;4;2009;1
39934;w17;5;2009;1
39965;w22;6;2009;1
39995;w26;7;2009;1
40026;w31;8;2009;1
40057;w35;9;2009;1
40087;w39;10;2009;1
40118;w44;11;2009;1
40148;w48;12;2009;1
40179;w52;1;2010;1
40210;w05;2;2010;1
40238;w09;3;2010;1
40269;w13;4;2010;1
40299;w17;5;2010;1
40330;w22;6;2010;1
40360;w26;7;2010;1
40391;w31;8;2010;1
40422;w35;9;2010;1
40452;w39;10;2010;1
40483;w44;11;2010;1
40513;w48;12;2010;1
40544;w52;1;2011;1
40575;w05;2;2011;1
40603;w09;3;2011;1
40634;w13;4;2011;1
40664;w18;5;2011;1
40695;w22;6;2011;1
40725;w26;7;2011;1
40756;w31;8;2011;1
40787;w35;9;2011;1
40817;w39;10;2011;1
40848;w44;11;2011;1
40878;w48;12;2011;1
40909;w01;1;2012;1
40940;w05;2;2012;1
40969;w09;3;2012;1
41000;w14;4;2012;1
41030;w18;5;2012;1
41061;w22;6;2012;1
41091;w27;7;2012;1
41122;w31;8;2012;1
41153;w35;9;2012;1
41183;w40;10;2012;1
41214;w44;11;2012;1
41244;w48;12;2012;1
41275;w01;1;2013;1
41306;w05;2;2013;1
41334;w09;3;2013;1
41365;w14;4;2013;1
41395;w18;5;2013;1
41426;w22;6;2013;1
41456;w27;7;2013;1
41487;w31;8;2013;1
41518;w36;9;2013;1
41548;w40;10;2013;1
41579;w44;11;2013;1
41609;w49;12;2013;1
41640;w01;1;2014;1
41671;w05;2;2014;1
41699;w09;3;2014;1
41730;w14;4;2014;1
41760;w18;5;2014;1
41791;w23;6;2014;1
41821;w27;7;2014;1
41852;w31;8;2014;1
41883;w36;9;2014;1
41913;w40;10;2014;1
41944;w44;11;2014;1
41974;w49;12;2014;1
42005;w53;1;2015;1
42036;w05;2;2015;1
42064;w09;3;2015;1
42095;w13;4;2015;1
42125;w17;5;2015;1
42156;w22;6;2015;1
42186;w26;7;2015;1
42217;w30;8;2015;1
42248;w35;9;2015;1
42278;w39;10;2015;1
42309;w44;11;2015;1
42339;w48;12;2015;1
42370;w52;1;2016;1
42401;w05;2;2016;1
42430;w09;3;2016;1
42461;w13;4;2016;1
42491;w18;5;2016;1
42522;w22;6;2016;1
42552;w26;7;2016;1
42583;w31;8;2016;1
42614;w35;9;2016;1
42644;w39;10;2016;1
42675;w44;11;2016;1
42705;w48;12;2016;1
42736;w01;1;2017;1
42767;w05;2;2017;1
42795;w09;3;2017;1
42826;w13;4;2017;1
42856;w18;5;2017;1
42887;w22;6;2017;1
42917;w26;7;2017;1
42948;w31;8;2017;1
42979;w35;9;2017;1
43009;w40;10;2017;1
43040;w44;11;2017;1
43070;w48;12;2017;1
43101;w01;1;2018;1
43132;w05;2;2018;1
43160;w09;3;2018;1
43191;w14;4;2018;1
43221;w18;5;2018;1
43252;w22;6;2018;1
43282;w27;7;2018;1
43313;w31;8;2018;1
43344;w35;9;2018;1
43374;w40;10;2018;1
43405;w44;11;2018;1
43435;w48;12;2018;1
